network,siteid,siteName,county,state,latitude,longitude,elevation,status,startdate,stopdate
NTN,SC99,Fort Johnson,Charleston,SC,32.7508,-79.8975,2,I,2002-03-19 06:00,2007-03-20 05:00
NTN,SD00,Huron,Beadle,SD,44.3842,-98.2206,390,I,1980-04-30 05:00,1983-09-20 05:00
NTN,SD04,Wind Cave National Park-Elk Mountain,Custer,SD,43.5577,-103.4840,1292,A,2002-11-05 06:00,
NTN,SD08,Cottonwood,Jackson,SD,43.9461,-101.8552,733,A,1983-10-11 05:00,
NTN,SD99,Huron Well Field,Beadle,SD,44.3550,-98.2917,398,A,1983-11-29 06:00,
NTN,SK20,Cactus Lake,,SK,52.0223,-109.8616,790,A,2012-02-14 06:00,
NTN,SK21,Hudson Bay,,SK,52.8400,-102.3800,367,A,2012-04-30 05:00,2020-03-31 05:00
NTN,SK30,Weyburn,,SK,49.5523,-103.8557,589,A,2016-06-07 05:00,2020-03-31 05:00
NTN,SK31,Fox Valley,,SK,50.4501,-109.4502,718,A,2016-06-14 05:00,
NTN,TN00,Walker Branch Watershed,Anderson,TN,35.9614,-84.2872,341,A,1980-03-11 06:00,2011-10-11 05:00
NTN,TN04,Speedwell,Claiborne,TN,36.4698,-83.8272,384,A,1999-01-26 06:00,
NTN,TN11,Great Smoky Mountains National Park-Elkmont,Sevier,TN,35.6645,-83.5903,640,A,1980-08-12 05:00,
